% EV id; departure time; arrival time; SoE0

% Zone A
EV44(3);17:42:00;10:17:00;0.4500
EV45(3);17:04:00;10:55:00;0.6133
EV46(3);18:00:00;8:28:00;0.5817
EV47(3);18:00:00;9:20:00;0.5310
EV48(3);18:00:00;8:00:00;0.5000
EV49(3);18:00:00;8:00:00;0.6600
EV50(3);18:00:00;8:30:00;0.5961
EV51(3);18:00:00;8:00:00;0.5000
EV52(3);17:46:00;10:13:00;0.6389
EV53(3);18:00:00;9:03:00;0.6553
EV54(3);18:00:00;8:00:00;0.6600
EV55(3);18:00:00;8:00:00;0.5000

% Zone E
EV1(4);14:45:00;14:30:00;0.6500
EV2(4);14:44:00;14:28:00;0.6500
EV3(4);14:50:00;13:30:00;0.5375
EV4(4);14:15:00;14:00:00;0.6500
EV5(4);14:30:00;14:15:00;0.6500
EV6(4);14:30:00;14:15:00;0.6500
EV7(4);14:31:00;14:15:00;0.6500
EV8(4);14:31:00;14:15:00;0.6500
EV9(4);15:00:00;14:45:00;0.6500
EV10(4);15:06:00;14:45:00;0.6330
EV11(4);15:12:00;14:46:00;0.6150
EV12(4);15:18:00;14:46:00;0.5950
EV13(4);15:24:00;14:47:00;0.5800
EV14(4);18:00:00;8:50:00;0.6306
EV15(4);18:00:00;8:00:00;0.6600
EV16(4);17:26:00;10:33:00;0.4500
EV17(4);18:00:00;9:21:00;0.4684
EV18(4);18:00:00;8:00:00;0.5498
EV19(4);18:00:00;8:45:00;0.5112
EV20(4);18:00:00;9:11:00;0.4730
EV21(4);18:00:00;8:04:00;0.6597
EV22(4);18:00:00;8:00:00;0.5977
EV23(4);18:00:00;8:40:00;0.6571
EV24(4);18:00:00;9:12:00;0.4865
EV25(4);18:00:00;8:28:00;0.4900
EV26(4);18:00:00;8:58:00;0.6077
EV27(4);18:00:00;8:00:00;0.5000
EV28(4);17:28:00;10:32:00;0.6500
EV29(4);18:00:00;9:27:00;0.6532
EV30(4);18:00:00;9:45:00;0.4864
EV31(4);17:28:00;10:31:00;0.6157
EV32(4);18:00:00;9:16:00;0.4709
EV33(4);18:00:00;8:03:00;0.6598
EV34(4);18:00:00;8:00:00;0.6600
EV35(4);18:00:00;8:00:00;0.5939
EV36(4);18:00:00;9:02:00;0.5301
EV37(4);18:00:00;8:39:00;0.4858
EV38(4);18:00:00;8:09:00;0.6593
EV39(4);18:00:00;9:07:00;0.6230
EV40(4);18:00:00;8:22:00;0.6482
EV41(4);18:00:00;8:57:00;0.6558
EV42(4);18:00:00;8:47:00;0.4827
EV43(4);18:00:00;9:47:00;0.6513
EV44(4);17:42:00;10:17:00;0.4500
EV45(4);17:04:00;10:55:00;0.6133
EV46(4);18:00:00;8:28:00;0.5817
EV47(4);18:00:00;9:20:00;0.5310
EV48(4);18:00:00;8:00:00;0.5000
EV49(4);18:00:00;8:00:00;0.6600
EV50(4);18:00:00;8:30:00;0.5961
EV51(4);18:00:00;8:00:00;0.5000
EV52(4);17:46:00;10:13:00;0.6389
EV53(4);18:00:00;9:03:00;0.6553
EV54(4);18:00:00;8:00:00;0.6600
EV55(4);18:00:00;8:00:00;0.5000

% Zone F
EV1(5);14:45:00;14:30:00;0.6500
EV2(5);14:44:00;14:28:00;0.6500
EV3(5);14:50:00;13:30:00;0.5375
EV4(5);14:15:00;14:00:00;0.6500
EV5(5);14:30:00;14:15:00;0.6500
EV6(5);14:30:00;14:15:00;0.6500
EV7(5);14:31:00;14:15:00;0.6500
EV8(5);14:31:00;14:15:00;0.6500
EV9(5);15:00:00;14:45:00;0.6500
EV10(5);15:06:00;14:45:00;0.6330
EV11(5);15:12:00;14:46:00;0.6150
EV12(5);15:18:00;14:46:00;0.5950
EV13(5);15:24:00;14:47:00;0.5800
EV14(5);18:00:00;8:50:00;0.6306
EV15(5);18:00:00;8:00:00;0.6600
EV16(5);17:26:00;10:33:00;0.4500
EV17(5);18:00:00;9:21:00;0.4684
EV18(5);18:00:00;8:00:00;0.5498
EV19(5);18:00:00;8:45:00;0.5112
EV20(5);18:00:00;9:11:00;0.4730
EV21(5);18:00:00;8:04:00;0.6597
EV22(5);18:00:00;8:00:00;0.5977
EV23(5);18:00:00;8:40:00;0.6571
EV24(5);18:00:00;9:12:00;0.4865
EV25(5);18:00:00;8:28:00;0.4900
EV26(5);18:00:00;8:58:00;0.6077
EV27(5);18:00:00;8:00:00;0.5000
EV28(5);17:28:00;10:32:00;0.6500
EV29(5);18:00:00;9:27:00;0.6532
EV30(5);18:00:00;9:45:00;0.4864
EV31(5);17:28:00;10:31:00;0.6157
EV32(5);18:00:00;9:16:00;0.4709
EV33(5);18:00:00;8:03:00;0.6598
EV34(5);18:00:00;8:00:00;0.6600
EV35(5);18:00:00;8:00:00;0.5939
EV36(5);18:00:00;9:02:00;0.5301
EV37(5);18:00:00;8:39:00;0.4858
EV38(5);18:00:00;8:09:00;0.6593
EV39(5);18:00:00;9:07:00;0.6230
EV40(5);18:00:00;8:22:00;0.6482
EV41(5);18:00:00;8:57:00;0.6558
EV42(5);18:00:00;8:47:00;0.4827
EV43(5);18:00:00;9:47:00;0.6513
EV44(5);17:42:00;10:17:00;0.4500
EV45(5);17:04:00;10:55:00;0.6133
EV46(5);18:00:00;8:28:00;0.5817
EV47(5);18:00:00;9:20:00;0.5310
EV48(5);18:00:00;8:00:00;0.5000
EV49(5);18:00:00;8:00:00;0.6600
EV50(5);18:00:00;8:30:00;0.5961
EV51(5);18:00:00;8:00:00;0.5000
EV52(5);17:46:00;10:13:00;0.6389
EV53(5);18:00:00;9:03:00;0.6553
EV54(5);18:00:00;8:00:00;0.6600
EV55(5);18:00:00;8:00:00;0.5000

% Zone G
EV1(6);14:45:00;14:30:00;0.6500
EV2(6);14:44:00;14:28:00;0.6500
EV3(6);14:50:00;13:30:00;0.5375
EV4(6);14:15:00;14:00:00;0.6500
EV5(6);14:30:00;14:15:00;0.6500
EV6(6);14:30:00;14:15:00;0.6500
EV7(6);14:31:00;14:15:00;0.6500
EV8(6);14:31:00;14:15:00;0.6500
EV9(6);15:00:00;14:45:00;0.6500
EV10(6);15:06:00;14:45:00;0.6330
EV11(6);15:12:00;14:46:00;0.6150
EV12(6);15:18:00;14:46:00;0.5950
EV13(6);15:24:00;14:47:00;0.5800
EV14(6);18:00:00;8:50:00;0.6306
EV15(6);18:00:00;8:00:00;0.6600
EV16(6);17:26:00;10:33:00;0.4500
EV17(6);18:00:00;9:21:00;0.4684
EV18(6);18:00:00;8:00:00;0.5498
EV19(6);18:00:00;8:45:00;0.5112
EV20(6);18:00:00;9:11:00;0.4730
EV21(6);18:00:00;8:04:00;0.6597
EV22(6);18:00:00;8:00:00;0.5977
EV23(6);18:00:00;8:40:00;0.6571
EV24(6);18:00:00;9:12:00;0.4865
EV25(6);18:00:00;8:28:00;0.4900
EV26(6);18:00:00;8:58:00;0.6077
EV27(6);18:00:00;8:00:00;0.5000
EV28(6);17:28:00;10:32:00;0.6500
EV29(6);18:00:00;9:27:00;0.6532
EV30(6);18:00:00;9:45:00;0.4864
EV31(6);17:28:00;10:31:00;0.6157
EV32(6);18:00:00;9:16:00;0.4709
EV33(6);18:00:00;8:03:00;0.6598
EV34(6);18:00:00;8:00:00;0.6600
EV35(6);18:00:00;8:00:00;0.5939
EV36(6);18:00:00;9:02:00;0.5301
EV37(6);18:00:00;8:39:00;0.4858
EV38(6);18:00:00;8:09:00;0.6593
EV39(6);18:00:00;9:07:00;0.6230
EV40(6);18:00:00;8:22:00;0.6482
EV41(6);18:00:00;8:57:00;0.6558
EV42(6);18:00:00;8:47:00;0.4827
EV43(6);18:00:00;9:47:00;0.6513
EV44(6);17:42:00;10:17:00;0.4500
EV45(6);17:04:00;10:55:00;0.6133
EV46(6);18:00:00;8:28:00;0.5817
EV47(6);18:00:00;9:20:00;0.5310
EV48(6);18:00:00;8:00:00;0.5000
EV49(6);18:00:00;8:00:00;0.6600
EV50(6);18:00:00;8:30:00;0.5961
EV51(6);18:00:00;8:00:00;0.5000
EV52(6);17:46:00;10:13:00;0.6389
EV53(6);18:00:00;9:03:00;0.6553
EV54(6);18:00:00;8:00:00;0.6600
EV55(6);18:00:00;8:00:00;0.5000

% Zone H
EV1(7);14:45:00;14:30:00;0.6500
EV2(7);14:44:00;14:28:00;0.6500
EV3(7);14:50:00;13:30:00;0.5375
EV4(7);14:15:00;14:00:00;0.6500
EV5(7);14:30:00;14:15:00;0.6500
EV6(7);14:30:00;14:15:00;0.6500
EV7(7);14:31:00;14:15:00;0.6500
EV8(7);14:31:00;14:15:00;0.6500
EV9(7);15:00:00;14:45:00;0.6500
EV10(7);15:06:00;14:45:00;0.6330
EV11(7);15:12:00;14:46:00;0.6150
EV12(7);15:18:00;14:46:00;0.5950
EV13(7);15:24:00;14:47:00;0.5800
EV14(7);18:00:00;8:50:00;0.6306
EV15(7);18:00:00;8:00:00;0.6600
EV16(7);17:26:00;10:33:00;0.4500
EV17(7);18:00:00;9:21:00;0.4684
EV18(7);18:00:00;8:00:00;0.5498
EV19(7);18:00:00;8:45:00;0.5112
EV20(7);18:00:00;9:11:00;0.4730
EV21(7);18:00:00;8:04:00;0.6597
EV22(7);18:00:00;8:00:00;0.5977
EV23(7);18:00:00;8:40:00;0.6571
EV24(7);18:00:00;9:12:00;0.4865
EV25(7);18:00:00;8:28:00;0.4900
EV26(7);18:00:00;8:58:00;0.6077
EV27(7);18:00:00;8:00:00;0.5000
EV28(7);17:28:00;10:32:00;0.6500
EV29(7);18:00:00;9:27:00;0.6532
EV30(7);18:00:00;9:45:00;0.4864
EV31(7);17:28:00;10:31:00;0.6157
EV32(7);18:00:00;9:16:00;0.4709
EV33(7);18:00:00;8:03:00;0.6598
EV34(7);18:00:00;8:00:00;0.6600
EV35(7);18:00:00;8:00:00;0.5939
EV36(7);18:00:00;9:02:00;0.5301
EV37(7);18:00:00;8:39:00;0.4858
EV38(7);18:00:00;8:09:00;0.6593
EV39(7);18:00:00;9:07:00;0.6230
EV40(7);18:00:00;8:22:00;0.6482
EV41(7);18:00:00;8:57:00;0.6558
EV42(7);18:00:00;8:47:00;0.4827
EV43(7);18:00:00;9:47:00;0.6513
EV44(7);17:42:00;10:17:00;0.4500
EV45(7);17:04:00;10:55:00;0.6133
EV46(7);18:00:00;8:28:00;0.5817
EV47(7);18:00:00;9:20:00;0.5310
EV48(7);18:00:00;8:00:00;0.5000
EV49(7);18:00:00;8:00:00;0.6600
EV50(7);18:00:00;8:30:00;0.5961
EV51(7);18:00:00;8:00:00;0.5000
EV52(7);17:46:00;10:13:00;0.6389
EV53(7);18:00:00;9:03:00;0.6553
EV54(7);18:00:00;8:00:00;0.6600
EV55(7);18:00:00;8:00:00;0.5000

% Zone I
EV1(8);14:45:00;14:30:00;0.6500
EV2(8);14:44:00;14:28:00;0.6500
EV3(8);14:50:00;13:30:00;0.5375
EV4(8);14:15:00;14:00:00;0.6500
EV5(8);14:30:00;14:15:00;0.6500
EV6(8);14:30:00;14:15:00;0.6500
EV7(8);14:31:00;14:15:00;0.6500
EV8(8);14:31:00;14:15:00;0.6500
EV9(8);15:00:00;14:45:00;0.6500
EV10(8);15:06:00;14:45:00;0.6330
EV11(8);15:12:00;14:46:00;0.6150
EV12(8);15:18:00;14:46:00;0.5950
EV13(8);15:24:00;14:47:00;0.5800
EV14(8);18:00:00;8:50:00;0.6306
EV15(8);18:00:00;8:00:00;0.6600
EV16(8);17:26:00;10:33:00;0.4500
EV17(8);18:00:00;9:21:00;0.4684
EV18(8);18:00:00;8:00:00;0.5498
EV19(8);18:00:00;8:45:00;0.5112
EV20(8);18:00:00;9:11:00;0.4730
EV21(8);18:00:00;8:04:00;0.6597
EV22(8);18:00:00;8:00:00;0.5977
EV23(8);18:00:00;8:40:00;0.6571
EV24(8);18:00:00;9:12:00;0.4865
EV25(8);18:00:00;8:28:00;0.4900
EV26(8);18:00:00;8:58:00;0.6077
EV27(8);18:00:00;8:00:00;0.5000
EV28(8);17:28:00;10:32:00;0.6500
EV29(8);18:00:00;9:27:00;0.6532
EV30(8);18:00:00;9:45:00;0.4864
EV31(8);17:28:00;10:31:00;0.6157
EV32(8);18:00:00;9:16:00;0.4709
EV33(8);18:00:00;8:03:00;0.6598
EV34(8);18:00:00;8:00:00;0.6600
EV35(8);18:00:00;8:00:00;0.5939
EV36(8);18:00:00;9:02:00;0.5301
EV37(8);18:00:00;8:39:00;0.4858
EV38(8);18:00:00;8:09:00;0.6593
EV39(8);18:00:00;9:07:00;0.6230
EV40(8);18:00:00;8:22:00;0.6482
EV41(8);18:00:00;8:57:00;0.6558
EV42(8);18:00:00;8:47:00;0.4827
EV43(8);18:00:00;9:47:00;0.6513
EV44(8);17:42:00;10:17:00;0.4500
EV45(8);17:04:00;10:55:00;0.6133
EV46(8);18:00:00;8:28:00;0.5817
EV47(8);18:00:00;9:20:00;0.5310
EV48(8);18:00:00;8:00:00;0.5000
EV49(8);18:00:00;8:00:00;0.6600
EV50(8);18:00:00;8:30:00;0.5961
EV51(8);18:00:00;8:00:00;0.5000
EV52(8);17:46:00;10:13:00;0.6389
EV53(8);18:00:00;9:03:00;0.6553
EV54(8);18:00:00;8:00:00;0.6600
EV55(8);18:00:00;8:00:00;0.5000
